X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
32.8666666670001,66.6833333330001,33,62870,62530,KOVDA,RU,66.683333,32.866667,66,41,N,32,52,E,183,BA3180,V,CN,G, , ,Y, , ,J,G,N, ,0, ,Y, , , ,Y,Y, ,Y,Y, , , , , , ,Y, , , , , , , , , ,Y, , , ,Y, , , , , ,Y,Y,Y, , , , , , , , , , , , 
32.4166666670001,67.1333333330001,34,62890,62530,KANDALAKSHA,RU,67.133333,32.416667,67,8,N,32,25,E,183,BA3180,V,RN,F, , ,Y, , ,L,G,K, ,2,M,Y, ,Y,N,Y,Y,Y, , , ,Y,Y,Y, ,Y,Y,Y,Y, ,Y,Y, , , , ,Y,Y, , , ,Y, , , , ,Y,Y,Y, , , ,Y,Y,N,Y, , ,C, ,S
34.3666666670001,66.6666666670001,35,62900,62530,BOLSHAYA PIRYU GUBA,RU,66.666667,34.366667,66,40,N,34,22,E,183,BA3180,S,CN,G, , ,Y, , ,N,J,N, ,5, , , , , , ,Y, , ,Y, ,Y, , , , , ,Y, , , ,Y, , , , ,Y, , , , , , , , , , ,Y, , , , , , , , , , ,C,S, 
39.516666667,68.0500000000001,36,62910,62530,OSTROVNOY GREMIKHA,RU,68.05,39.516667,68,3,N,39,31,E,183,BA2269,S,CN,G, , , , , ,H,G,K, ,11, ,Y, , , , ,Y, , , , , , , , ,Y, ,Y, , , ,Y, , , , ,Y, , , , , , , , , , , , , , , ,Y,Y,Y, , , ,C,M, 
33.0500000000001,68.9833333330001,37,62950,62530,MURMANSK,RU,68.983333,33.05,68,59,N,33,3,E,183,42760,L,RN,G,Y,N,Y,N,Y,L,G,M,A,3,M,Y,Y,Y,N,Y,Y,Y, ,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, ,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,A,L,M
33.033333333,68.9833333330001,38,62970,62530,MYS ABRAM,RU,68.983333,33.033333,68,59,N,33,2,E,183,42760,V,CN,F, , ,Y, , ,H,H,N, ,8, , , , , , ,Y, , , , , , , , , , ,Y, , ,Y,Y, , , , ,Y, , , ,Y, , , , , ,Y,Y, , , , , ,Y, , , , , , , 
-45.033333333,-60.733333333,39,63070,63060,ELLEFSEN HARBOR,AQ,-60.733333,-45.033333,60,44,S,45,2,W,200,29107,V,CN,G, , ,Y,Y,N,J,A, , ,0, ,Y,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-44.716666667,-60.7499999999999,40,63080,63060,SCOTIA BAY,AQ,-60.75,-44.716667,60,45,S,44,43,W,200,29107,V,CN,P, , ,Y,Y,N,A,G, , ,0, ,N,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-58.416666667,-62.083333333,41,63090,63060,ADMIRALTY BAY,AQ,-62.083333,-58.416667,62,5,S,58,25,W,200,29101,V,CN,G, , ,Y, ,N,A,A, , ,0, , ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , 
-60.6333333329999,-62.9499999999999,42,63095,63060,PORT FOSTER,AQ,-62.95,-60.633333,62,57,S,60,38,W,200,29101,V,CN,F, , ,Y, ,N,A,B, , ,0, , ,Y, , , , , , , , , , , , , , ,Y, ,Y, , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
